position,eval
xoxoxox--,-1
xoxoxooxx,-1
xoxoxoox-,1
xoxoxoxxo,-1
xoxoxo-xo,1
xoxoxo-x-,-1
xoxoxo--x,-1
xoxoxo---,1
xoxoxxoox,-1
xoxoxxoo-,1
xoxoxxoxo,0
xoxoxxo-o,0
xoxoxxo--,0
xoxox-oxo,0
xoxox-ox-,0
xoxox-o-x,-1
xoxox-o--,1
xoxoxxxoo,-1
xoxoxx-oo,1
xoxoxx-o-,-1
xoxox-xo-,-1
xoxox--ox,-1
xoxox--o-,1
xoxoxx--o,0
xoxox-x-o,-1
xoxox--xo,0
xoxox---o,1
xoxox----,-1
xoxooxxo-,-1
xoxooxxxo,0
xoxooxx-o,0
xoxooxx--,1
xoxooxoxx,-1
xoxooxox-,1
xoxoox-xo,0
xoxoox-x-,0
xoxoox--x,-1
xoxoox---,1
xoxo-xoxo,0
xoxo-xox-,0
xoxo-xo-x,-1
xoxo-xo--,1
xoxo-xxoo,1
xoxo-xxo-,1
xoxo-x-ox,-1
xoxo-x-o-,1
xoxo-xx-o,0
xoxo-x-xo,0
xoxo-x--o,0
xoxo-x---,0
xoxoooxx-,-1
xoxoo-xxo,0
xoxoo-xx-,1
xoxooox-x,-1
xoxoo-xox,-1
xoxoo-x-x,1
xoxoo-x--,-1
xoxo-oxxo,1
xoxo-oxx-,1
xoxoxoxox,-1
xoxo-oxox,1
xoxo-ox-x,1
xoxo-ox--,1
xoxo--xox,1
xoxo--xo-,1
xoxo--xxo,0
xoxo--x-o,1
xoxo--x--,1
xoxooo-xx,-1
xoxoo-oxx,1
xoxoo--xx,1
xoxoo--x-,0
xoxo-ooxx,1
xoxo-o-xx,1
xoxo-o-x-,1
xoxo--oxx,-1
xoxo--ox-,1
xoxo---xo,0
xoxo---x-,0
xoxoo---x,1
xoxo-o--x,1
xoxo--o-x,1
xoxo---ox,1
xoxo----x,-1
xoxo-----,1
xoxxoox--,-1
xoxxoooxx,0
xoxxooox-,0
xoxxooxxo,-1
